status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,24.204,2026-08-24T00:20:53.000000Z
200,180.247.176.86,smknurulhidayah.my.id,"GET /login HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,19060,26.239,2026-08-24T00:20:51.000000Z
302,180.247.176.86,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",ID,219,57.215,2026-08-24T00:20:51.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,914,48.927,2026-08-24T00:19:59.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,535,57.372,2026-08-24T00:19:55.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,93.414,2026-08-24T00:19:54.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,22.384,2026-08-24T00:19:09.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,52.079,2026-08-24T00:18:57.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,21.319,2026-08-24T00:18:55.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,223,46.319,2026-08-24T00:18:53.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,48.557,2026-08-24T00:18:49.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,47.434,2026-08-24T00:17:41.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,916,52.511,2026-08-24T00:16:38.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,535,48.234,2026-08-24T00:16:36.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,29.711,2026-08-24T00:16:35.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,122.934,2026-08-24T00:16:34.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,244,49.688,2026-08-24T00:15:43.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,52.142,2026-08-24T00:15:39.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,912,51.121,2026-08-24T00:15:25.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,528,48.854,2026-08-24T00:15:20.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,88.19,2026-08-24T00:15:18.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,912,100.436,2026-08-24T00:14:21.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,528,39.619,2026-08-24T00:14:18.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,108.82,2026-08-24T00:14:18.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,95.881,2026-08-24T00:14:16.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,45.702,2026-08-24T00:13:51.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,238,55.03,2026-08-24T00:13:33.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,33.416,2026-08-24T00:13:06.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,40.467,2026-08-24T00:13:00.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,40.871,2026-08-24T00:12:11.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,219,46.417,2026-08-24T00:11:31.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,31.632,2026-08-24T00:11:27.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,44.547,2026-08-24T00:11:23.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,61.846,2026-08-24T00:10:53.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,52.819,2026-08-24T00:10:28.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,528,37.82,2026-08-24T00:09:19.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,49.812,2026-08-24T00:09:19.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,528,37.946,2026-08-24T00:09:10.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,24.043,2026-08-24T00:09:10.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /js/page-scripts/monitoring.js?v=1787530148 HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,34089,9.871,2026-08-24T00:09:09.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /monitoring HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,16534,72.126,2026-08-24T00:09:08.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,27.652,2026-08-24T00:08:59.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/attendance/dashboard-summary HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,150,111.112,2026-08-24T00:08:57.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /ajax/shared/classes HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,49,42.501,2026-08-24T00:08:56.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /js/page-scripts/dashboard-admin.js?v=1787499581 HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,34167,10.674,2026-08-24T00:08:56.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /dashboard HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,18195,120.008,2026-08-24T00:08:55.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"POST /login HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,89,366.225,2026-08-24T00:08:54.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/attendance HTTP/1.1",ESP32HTTPClient,ID,239,55.703,2026-08-24T00:08:50.000000Z
200,202.136.82.199,smknurulhidayah.my.id,"POST /api/device/cek HTTP/1.1",ESP32HTTPClient,ID,171,42.932,2026-08-24T00:08:48.000000Z
200,202.136.82.198,smknurulhidayah.my.id,"GET /login HTTP/1.1","Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/537.36 (KHTML, like Gecko)  VivoBrowser/16.3.1.0 Chrome/131.0.6778.200 Safari/537.36",ID,19061,45.848,2026-08-24T00:08:37.000000Z
